claim_id,door_damaged,bonnet_damaged,bumper_damaged,dickey_damaged,fender_damaged,light_damaged,windshield_damaged,severity,total_parts_damaged,damage_score,estimated_repair_cost,insurance_payout
CLM000001,0,0,0,0,0,1,0,medium,1,1.509,16079.38,9582.52
CLM000002,0,1,1,0,0,0,0,medium,2,3.674,32431.04,25132.42
CLM000003,0,0,1,0,0,0,0,low,1,0.849,10471.33,129.75
CLM000004,0,0,1,1,1,0,0,medium,3,4.388,49370.67,37729.28
CLM000005,1,0,1,0,1,1,1,high,5,15.365,194765.01,141952.62
CLM000006,0,0,1,0,0,0,0,low,1,0.706,10732.02,6442.74
CLM000007,1,1,0,0,1,0,0,medium,3,4.231,55120.08,46793.02
CLM000008,0,0,0,0,0,1,1,low,2,2.158,21262.55,10889.04
CLM000009,0,1,0,0,0,1,0,low,2,1.814,18197.85,7253.27
CLM000010,0,1,1,0,1,1,1,high,5,13.496,196568.17,137052.61
CLM000011,1,0,0,1,0,1,0,medium,3,4.759,81098.94,69751.96
CLM000012,0,1,1,0,1,1,0,high,4,9.316,110912.44,79165.84
CLM000013,0,0,1,1,0,0,0,medium,2,3.563,33036.43,24874.28
CLM000014,1,1,1,0,1,1,0,high,5,10.51,81499.06,46178.01
CLM000015,1,0,1,0,1,0,0,medium,3,3.671,57026.96,51104.1
CLM000016,0,0,1,0,0,0,0,medium,1,1.391,18183.98,10786.05
CLM000017,0,0,1,0,0,1,0,low,2,1.933,22704.93,18064.88
CLM000018,1,0,1,0,1,1,0,high,4,9.937,156157.86,130346.75
CLM000019,0,1,1,0,1,0,0,high,3,6.505,77096.95,50398.48
CLM000020,0,1,1,0,1,0,0,medium,3,4.997,104918.66,66550.72
CLM000021,1,0,0,0,0,1,0,low,2,1.51,24365.77,8785.45
CLM000022,1,1,1,0,1,1,0,high,5,13.316,151985.46,134843.22
CLM000023,1,1,1,0,1,1,0,high,5,13.787,172856.95,136677.86
CLM000024,1,1,1,0,1,1,0,high,5,14.182,186216.18,149760.37
CLM000025,0,0,1,0,0,0,0,low,1,0.619,6368.08,123.76
CLM000026,0,1,1,0,1,1,0,high,4,9.761,160096.51,127225.03
CLM000027,0,1,1,1,0,1,0,high,4,11.713,135282.06,84892.71
CLM000028,0,0,0,1,0,1,1,high,3,8.493,135939.63,126813.73
CLM000029,0,0,1,1,0,1,0,low,3,1.909,12745.0,6609.38
CLM000030,1,0,0,0,1,1,0,medium,3,4.749,50689.44,34798.7
CLM000031,1,0,0,0,1,0,0,low,2,1.716,24706.06,18358.38
CLM000032,0,0,1,1,0,0,0,medium,2,2.869,41967.06,34245.59
CLM000033,0,1,1,0,0,0,0,low,2,2.379,31326.79,19717.54
CLM000034,0,0,1,1,0,1,1,high,4,10.254,139358.1,79675.92
CLM000035,0,0,0,1,0,1,0,low,2,1.564,17078.41,12076.52
CLM000036,0,0,1,1,0,0,0,low,2,1.577,19331.02,8590.86
CLM000037,1,0,0,0,1,1,0,medium,3,5.207,75313.25,58057.54
CLM000038,0,1,0,1,0,0,1,medium,3,4.855,80606.63,62173.04
CLM000039,1,1,0,0,1,1,0,low,4,3.731,57974.37,39096.51
CLM000040,1,0,0,0,1,1,0,low,3,3.424,19932.07,10156.54
CLM000041,1,1,0,0,1,0,0,high,3,11.075,211019.26,177405.09
CLM000042,0,0,1,1,0,1,0,low,3,2.707,21758.33,11171.57
CLM000043,0,0,1,0,0,0,0,low,1,0.749,10875.88,7232.84
CLM000044,0,0,1,0,0,0,0,low,1,0.661,6744.04,0.0
CLM000045,0,1,1,0,0,0,0,high,2,6.363,74936.8,51171.57
CLM000046,0,0,1,0,1,1,0,high,3,6.892,98429.9,70183.02
CLM000047,1,0,0,0,1,1,0,medium,3,4.483,34187.41,24630.46
CLM000048,0,0,1,1,0,0,0,low,2,1.574,10559.5,4019.81
CLM000049,0,0,1,0,1,0,0,medium,2,2.915,28634.96,24104.19
CLM000050,0,0,1,1,0,0,0,medium,2,3.376,57060.0,42498.82
CLM000051,0,0,1,0,0,0,1,low,2,2.789,33502.67,21732.09
CLM000052,0,0,1,0,0,1,1,medium,3,4.069,68014.16,50386.14
CLM000053,0,0,1,1,0,0,0,low,2,1.652,19158.08,15462.63
CLM000054,0,0,1,0,0,1,0,high,2,5.368,94622.72,78542.83
CLM000055,0,1,1,0,0,0,0,low,2,1.797,22055.62,18458.39
CLM000056,1,0,0,0,1,1,0,medium,3,3.869,46193.54,33144.04
CLM000057,0,0,1,1,0,1,0,medium,3,5.16,47984.46,31470.9
CLM000058,0,0,1,1,0,1,0,low,3,3.118,29325.04,25848.59
CLM000059,0,0,1,0,0,1,0,medium,2,3.112,40103.64,27451.96
CLM000060,1,0,1,0,0,0,0,high,2,5.239,71866.81,53760.61
CLM000061,1,0,0,0,1,1,0,low,3,3.618,35198.97,22214.11
CLM000062,1,0,0,0,1,0,0,high,2,4.225,45078.75,31541.87
CLM000063,0,0,1,1,0,1,0,high,3,8.096,94192.16,68907.33
CLM000064,0,1,1,0,1,0,0,low,3,2.842,44368.38,23412.46
CLM000065,0,0,0,0,1,0,0,low,1,0.648,6505.49,2952.98
CLM000066,0,0,1,1,0,0,0,low,2,1.958,34458.88,13653.08
CLM000067,0,0,1,0,1,0,0,medium,2,2.59,32377.3,13500.12
CLM000068,1,0,0,0,1,0,0,medium,2,2.655,34015.07,25030.01
CLM000069,0,1,1,0,1,0,0,high,3,8.653,121257.01,78548.28
CLM000070,0,1,1,0,1,1,0,high,4,8.63,83659.32,63753.03
CLM000071,0,1,1,0,1,0,0,high,3,6.282,84946.2,50913.93
CLM000072,1,0,0,1,1,0,0,medium,3,3.308,37060.67,19694.81
CLM000073,0,0,1,0,0,0,0,low,1,0.844,13337.92,10119.86
CLM000074,1,1,0,0,1,1,0,high,4,10.016,116595.88,71165.06
CLM000075,1,0,0,0,0,0,1,medium,2,4.382,47884.33,43199.65
CLM000076,1,1,0,0,1,1,0,high,4,8.746,95634.48,53261.96
CLM000077,0,0,1,1,0,1,0,high,3,9.342,121022.92,82962.86
CLM000078,0,1,0,0,1,0,0,medium,2,3.445,55934.92,40141.86
CLM000079,0,0,1,0,0,0,0,low,1,0.849,8799.07,0.0
CLM000080,0,1,0,0,1,1,0,low,3,2.66,26749.06,14903.94
CLM000081,0,0,1,0,0,1,0,medium,2,3.375,37269.41,27177.24
CLM000082,0,0,1,0,0,0,0,low,1,0.918,12590.88,5095.88
CLM000083,1,0,0,0,1,0,0,high,2,4.91,47930.83,15102.05
CLM000084,0,0,0,0,1,0,0,low,1,0.731,8977.96,4255.35
CLM000085,0,0,1,1,0,1,1,high,4,9.124,81628.16,58129.2
CLM000086,0,0,1,0,0,0,0,low,1,0.807,11292.37,7170.81
CLM000087,0,0,1,1,1,1,0,medium,4,6.657,57551.88,41561.9
CLM000088,0,0,0,0,1,0,0,low,1,0.785,5642.03,0.0
CLM000089,1,0,0,0,0,1,0,medium,2,4.405,49565.77,25568.75
CLM000090,0,1,1,0,0,1,0,medium,3,4.609,34324.55,23862.86
CLM000091,1,1,1,0,1,0,0,medium,4,7.339,158989.55,97373.1
CLM000092,1,0,0,0,1,0,0,medium,2,2.641,36206.2,26350.93
CLM000093,0,1,1,0,0,1,0,low,3,3.032,40977.45,31475.02
CLM000094,0,1,1,0,1,0,1,medium,4,5.717,68750.93,53814.05
CLM000095,1,0,0,0,0,0,0,low,1,1.047,11504.67,4489.04
CLM000096,0,0,1,0,0,0,0,low,1,0.669,6320.32,0.0
CLM000097,0,0,1,0,1,1,0,high,3,6.933,67211.59,42811.05
CLM000098,0,0,0,0,1,1,0,high,2,4.986,86780.37,63585.07
CLM000099,1,0,0,0,1,0,0,medium,2,2.348,24032.2,10385.97
CLM000100,0,0,1,0,1,0,0,low,2,1.743,24928.67,16385.14
CLM000101,1,0,0,0,0,1,0,medium,2,2.866,39404.79,28067.94
CLM000102,0,1,1,0,1,1,0,medium,4,7.409,85944.28,52919.94
CLM000103,0,0,0,0,1,0,0,medium,1,0.852,14497.71,6162.13
CLM000104,0,0,1,1,0,0,0,low,2,1.797,15121.04,9154.03
CLM000105,1,0,0,0,1,0,0,medium,2,3.087,41500.67,28520.0
CLM000106,1,0,0,0,1,1,0,low,3,2.667,31151.92,14875.37
CLM000107,0,0,1,1,0,0,0,medium,2,3.469,49517.42,31164.63
CLM000108,1,1,1,0,1,0,0,medium,4,7.152,124724.68,87135.46
CLM000109,1,0,0,0,0,0,0,low,1,1.135,15093.17,11131.19
CLM000110,1,0,0,0,1,0,0,low,2,1.738,25965.91,21025.99
CLM000111,0,1,1,0,0,1,1,high,4,13.318,106937.89,52733.68
CLM000112,0,0,1,1,0,1,0,low,3,3.057,48845.66,42127.34
CLM000113,0,1,0,1,0,1,1,high,4,12.733,170024.01,127289.97
CLM000114,0,0,1,0,0,0,0,low,1,1.055,16185.13,12720.93
CLM000115,1,0,0,0,0,0,0,low,1,1.125,13007.63,2152.55
CLM000116,0,0,1,0,1,1,0,medium,3,6.295,84651.18,62916.13
CLM000117,0,1,1,1,0,1,0,medium,4,4.7,73853.2,53498.09
CLM000118,0,0,1,1,0,0,0,low,2,2.122,31677.36,21879.15
CLM000119,0,0,1,0,1,1,0,medium,3,4.215,51595.96,45327.09
CLM000120,1,0,0,0,0,0,0,low,1,0.824,12788.96,7908.65
CLM000121,1,0,0,0,0,0,0,low,1,0.711,6962.82,2188.53
CLM000122,1,0,1,1,0,0,0,low,3,3.257,49705.06,29474.95
CLM000123,1,0,1,1,1,0,0,medium,4,4.911,44653.52,21885.84
CLM000124,0,0,1,0,1,1,0,medium,3,4.246,71029.45,53980.07
CLM000125,0,0,1,1,0,1,0,low,3,3.232,30612.16,26983.49
CLM000126,0,0,1,0,0,0,1,low,2,2.157,28443.04,20862.84
CLM000127,0,0,1,1,0,1,0,high,3,6.354,117381.04,91085.62
CLM000128,1,0,0,0,0,0,0,medium,1,1.956,21504.31,12640.93
CLM000129,0,1,1,0,0,0,0,medium,2,2.248,28412.52,13963.8
CLM000130,0,0,1,0,0,0,0,low,1,0.99,11421.35,7324.13
CLM000131,1,1,1,0,0,0,1,high,4,17.533,207829.9,157883.45
CLM000132,0,0,1,0,0,0,0,low,1,0.825,10128.14,0.0
CLM000133,0,1,1,0,0,0,0,medium,2,3.712,48388.31,32963.73
CLM000134,0,0,1,1,1,0,0,medium,3,5.476,80345.29,62197.2
CLM000135,0,1,0,0,1,0,0,high,2,3.292,46686.16,34582.8
CLM000136,0,0,1,1,1,1,0,medium,4,6.534,79040.29,53952.25
CLM000137,1,0,0,0,1,0,0,low,2,1.663,31203.59,8623.74
CLM000138,1,0,1,0,1,1,0,medium,4,5.231,68266.21,43672.06
CLM000139,0,1,1,0,0,0,1,high,3,8.944,175169.5,122505.88
CLM000140,0,0,1,0,0,0,0,low,1,0.936,17884.99,4045.88
CLM000141,1,0,0,0,0,0,0,low,1,1.251,17338.7,3841.93
CLM000142,1,0,0,0,0,0,0,medium,1,1.801,18988.63,15995.87
CLM000143,1,0,0,0,1,0,0,medium,2,2.731,28382.05,21131.64
CLM000144,1,0,0,0,1,0,0,medium,2,3.391,36719.23,16445.06
CLM000145,0,1,1,1,0,1,1,high,5,13.846,137921.8,125144.0
CLM000146,0,0,1,1,0,1,0,medium,3,4.798,72301.32,63719.42
CLM000147,1,0,0,0,1,0,0,high,2,3.171,43319.05,25313.93
CLM000148,1,0,0,0,0,0,0,low,1,1.31,12086.56,8685.59
CLM000149,0,0,1,1,0,1,0,medium,3,4.305,67293.15,40685.41
CLM000150,0,0,1,0,0,1,0,medium,2,3.065,28432.33,17783.02
CLM000151,1,1,0,1,1,1,0,high,5,13.753,112066.94,62666.46
CLM000152,0,1,1,0,1,0,0,high,3,7.232,134375.48,101799.11
CLM000153,0,1,1,0,1,1,1,high,5,17.601,198429.44,160658.53
CLM000154,0,0,1,1,0,0,0,medium,2,3.431,37424.56,27110.65
CLM000155,0,1,1,0,0,1,1,high,4,12.49,189845.11,150660.28
CLM000156,0,1,1,0,0,1,0,medium,3,6.24,115513.68,77612.7
CLM000157,0,1,1,0,1,1,0,high,4,9.41,76068.47,47354.51
CLM000158,0,1,1,0,0,0,0,low,2,1.337,14268.0,7491.58
CLM000159,0,0,1,0,1,0,0,low,2,1.328,20983.43,9535.31
CLM000160,0,0,0,0,1,0,0,low,1,0.818,12027.33,0.0
CLM000161,0,1,1,1,0,0,0,medium,3,4.413,58390.4,35036.05
CLM000162,0,1,1,0,0,1,1,high,4,11.874,126635.59,116822.29
CLM000163,0,1,1,0,0,1,1,high,4,11.096,119221.01,85288.52
CLM000164,0,0,1,1,0,1,0,low,3,2.54,39004.83,31879.16
CLM000165,0,0,0,1,0,0,0,low,1,0.909,7812.8,4258.14
CLM000166,0,1,1,0,1,0,0,medium,3,4.301,48601.11,29073.8
CLM000167,1,0,1,0,1,0,0,low,3,2.197,32370.74,20799.91
CLM000168,0,0,1,0,1,1,0,medium,3,4.281,54306.46,45168.49
CLM000169,0,1,1,0,0,0,0,medium,2,4.416,42845.53,16411.63
CLM000170,0,0,1,0,0,0,0,medium,1,1.533,18588.51,3185.34
CLM000171,1,1,1,0,1,0,0,medium,4,6.68,88706.19,70338.05
CLM000172,1,1,0,1,0,1,1,medium,5,8.273,141139.32,111142.34
CLM000173,0,0,1,0,1,0,0,medium,2,2.749,30203.3,23216.73
CLM000174,1,0,0,1,0,1,0,low,3,3.461,51295.12,23766.75
CLM000175,0,1,1,0,1,0,0,low,3,3.109,39837.11,32592.96
CLM000176,0,1,1,0,0,1,0,low,3,2.33,26861.39,21150.56
CLM000177,0,0,1,1,1,1,0,high,4,12.299,206679.04,147647.64
CLM000178,1,0,1,1,0,0,0,low,3,2.805,43763.52,30560.0
CLM000179,0,1,0,1,0,1,1,medium,4,8.378,176723.69,139494.4
CLM000180,1,0,0,0,0,0,0,low,1,0.981,11001.05,0.0
CLM000181,0,0,1,1,1,1,0,medium,4,6.956,135367.21,119477.12
CLM000182,0,0,1,1,0,1,0,medium,3,4.492,60514.48,51461.68
CLM000183,0,0,1,1,0,0,0,medium,2,2.092,19382.7,9542.52
CLM000184,0,0,1,1,0,1,0,high,3,8.657,85880.14,70969.11
CLM000185,1,0,0,0,0,0,0,low,1,0.837,5460.82,0.0
CLM000186,0,1,0,0,0,1,1,medium,3,6.478,150441.42,121837.27
CLM000187,0,0,0,0,0,0,1,medium,1,1.928,19832.66,5801.76
CLM000188,0,1,1,0,1,1,0,high,4,11.959,160039.77,113500.72
CLM000189,1,0,0,0,1,0,1,medium,3,4.819,48301.61,33587.24
CLM000190,0,0,1,0,0,0,0,low,1,1.075,14624.21,6756.71
CLM000191,1,1,1,0,1,1,1,high,6,18.121,355671.14,254033.41
CLM000192,0,1,1,0,1,0,0,medium,3,4.283,42600.95,26004.06
CLM000193,1,0,0,0,1,0,0,low,2,1.797,24016.45,18415.62
CLM000194,1,1,0,0,1,1,0,high,4,8.917,115140.03,91731.83
CLM000195,0,0,1,0,0,0,0,medium,1,1.236,16983.03,5863.33
CLM000196,1,0,0,0,0,1,0,medium,2,2.878,31028.93,22121.67
CLM000197,0,0,1,0,1,1,0,medium,3,3.491,28781.83,20835.33
CLM000198,1,0,0,0,0,1,0,medium,2,2.569,26379.93,9585.16
CLM000199,0,1,1,0,1,1,0,medium,4,6.533,54230.81,38377.64
CLM000200,1,0,1,1,1,1,0,high,5,12.402,172165.36,132535.04
CLM000201,1,0,0,0,0,0,0,low,1,1.064,14054.37,7131.13
CLM000202,0,0,0,0,1,0,0,low,1,0.751,5451.82,0.0
CLM000203,0,0,1,1,0,1,0,high,3,9.141,108804.08,73706.33
CLM000204,0,0,1,0,1,0,0,low,2,1.91,21660.62,15328.86
CLM000205,0,0,1,0,0,1,0,low,2,1.778,19694.44,11339.99
CLM000206,1,0,0,0,0,1,0,medium,2,3.0,39726.71,29745.64
CLM000207,0,0,1,1,0,1,0,medium,3,4.371,51809.28,33688.11
CLM000208,1,0,0,0,0,0,0,low,1,0.917,11666.34,8948.42
CLM000209,1,0,0,0,1,1,0,low,3,1.916,20259.54,1545.73
CLM000210,1,0,1,1,1,1,0,high,5,11.353,243951.9,201601.86
CLM000211,1,1,1,0,1,0,0,medium,4,4.601,43881.09,24454.22
CLM000212,1,0,0,0,0,0,0,medium,1,1.238,17550.5,11342.37
CLM000213,0,1,1,0,0,0,0,medium,2,3.429,45703.86,36689.88
CLM000214,0,0,1,0,1,1,1,medium,4,5.933,63559.31,53079.51
CLM000215,1,1,1,0,1,1,0,high,5,12.28,234552.19,173987.11
CLM000216,0,0,1,1,0,0,0,high,2,3.982,50375.83,26352.89
CLM000217,1,0,0,0,0,0,0,low,1,1.02,12640.33,8362.74
CLM000218,1,1,0,0,1,0,0,low,3,3.228,31370.58,23495.85
CLM000219,0,1,0,0,1,0,0,low,2,1.998,35464.93,20623.85
CLM000220,1,0,0,0,1,0,0,low,2,1.67,17578.52,2821.24
CLM000221,0,0,1,0,1,0,0,low,2,1.641,14028.03,2970.26
CLM000222,1,1,1,0,1,1,0,high,5,13.084,205705.63,161746.4
CLM000223,0,0,1,1,0,0,0,high,2,4.797,47868.4,30742.79
CLM000224,0,0,1,0,1,0,0,low,2,1.585,21313.63,9219.16
CLM000225,1,0,1,0,1,0,0,low,3,2.905,44127.38,29609.29
CLM000226,1,0,0,0,1,1,0,high,3,5.805,89836.45,78996.69
CLM000227,0,1,0,0,0,0,1,medium,2,3.727,65776.3,32716.9
CLM000228,0,1,1,0,1,1,0,medium,4,5.49,101320.0,74085.11
CLM000229,0,1,1,0,0,0,0,low,2,1.954,22006.84,14781.34
CLM000230,0,1,1,0,1,1,0,medium,4,3.947,57961.27,46007.95
CLM000231,0,1,1,0,1,1,0,high,4,7.58,92257.95,53243.72
CLM000232,1,1,1,1,1,1,0,high,6,22.697,317184.89,220980.61
CLM000233,0,0,1,1,0,1,0,high,3,7.215,70265.3,54232.12
CLM000234,1,0,0,0,0,0,0,low,1,1.224,13279.45,2345.16
CLM000235,1,1,0,0,0,0,0,low,2,2.431,37059.9,31129.98
CLM000236,0,0,1,0,0,0,0,medium,1,1.061,12850.3,7272.13
CLM000237,1,1,1,1,1,0,0,high,5,13.622,195320.41,167533.59
CLM000238,1,0,0,0,0,0,0,low,1,0.846,10081.23,4952.88
CLM000239,1,0,1,0,1,0,0,low,3,3.09,43718.78,23600.49
CLM000240,0,1,1,0,1,1,1,high,5,18.78,272677.37,233808.46
CLM000241,0,0,1,0,0,0,0,medium,1,1.113,17213.59,12061.56
CLM000242,0,0,1,0,0,0,0,low,1,0.964,14576.43,11481.74
CLM000243,1,0,0,0,1,1,0,high,3,7.596,102812.09,75126.2
CLM000244,0,0,0,0,1,1,0,medium,2,2.792,31916.0,17815.83
CLM000245,0,0,1,1,0,0,0,low,2,1.657,16729.06,2034.68
